Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Caitlin Clark,22,40,40,1416,242,580,0.417,122,355,0.344,120,225,0.533,163,180,0.906,14,213,227,337,53,27,223,111,769
2,Kelsey Mitchell,28,40,38,1280,282,602,0.468,109,271,0.402,173,331,0.523,94,113,0.832,27,72,99,71,27,7,64,63,767
3,Aliyah Boston,22,40,40,1236,236,446,0.529,7,26,0.269,229,420,0.545,81,110,0.736,111,244,355,126,35,49,79,130,560
4,NaLyssa Smith,23,40,37,993,168,350,0.48,14,48,0.292,154,302,0.51,72,127,0.567,72,213,285,41,30,39,52,107,422
5,Katie Lou Samuelson,27,37,15,672,51,146,0.349,33,100,0.33,18,46,0.391,24,25,0.96,17,68,85,51,12,9,18,53,159
6,Lexie Hull,24,34,11,671,60,136,0.441,33,70,0.471,27,66,0.409,33,41,0.805,33,51,84,36,22,11,29,85,186
7,Erica Wheeler,33,39,2,546,58,141,0.411,15,52,0.288,43,89,0.483,11,13,0.846,7,46,53,69,17,4,35,45,142
8,Kristy Wallace,28,26,15,446,47,117,0.402,17,58,0.293,30,59,0.508,12,18,0.667,11,37,48,45,18,6,17,29,123
9,Temi Fagbenle,31,22,2,415,58,114,0.509,2,12,0.167,56,102,0.549,22,28,0.786,31,73,104,20,11,15,27,66,140
10,Damiris Dantas,31,20,0,210,34,74,0.459,13,33,0.394,21,41,0.512,8,12,0.667,4,39,43,12,5,5,12,20,89
11,Grace Berger,25,11,0,102,10,25,0.4,2,5,0.4,8,20,0.4,9,14,0.643,4,11,15,7,5,0,10,12,31
12,Victaria Saxton,24,9,0,23,3,9,0.333,1,4,0.25,2,5,0.4,1,2,0.5,0,3,3,0,0,0,1,4,8
13,Celeste Taylor,23,5,0,16,1,1,1,0,0,,1,1,1,1,2,0.5,0,1,1,1,0,1,1,1,3
