Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,A'ja Wilson,27,38,38,1308,385,743,0.518,19,60,0.317,366,683,0.536,232,275,0.844,79,372,451,88,68,98,48,67,1021
2,Kelsey Plum,29,38,38,1291,232,549,0.423,110,299,0.368,122,250,0.488,103,119,0.866,10,88,98,159,27,1,93,104,677
3,Jackie Young,26,37,37,1205,201,467,0.43,70,208,0.337,131,259,0.506,111,128,0.867,26,135,161,197,37,8,78,92,583
4,Alysha Clark,36,40,18,972,85,192,0.443,47,126,0.373,38,66,0.576,23,28,0.821,21,124,145,70,33,11,55,107,240
5,Kiah Stokes,31,39,29,717,20,62,0.323,9,40,0.225,11,22,0.5,6,9,0.667,23,161,184,28,21,33,15,68,55
6,Tiffany Hayes,34,33,5,708,110,220,0.5,33,82,0.402,77,138,0.558,60,84,0.714,27,65,92,69,25,9,28,68,313
7,Chelsea Gray,31,27,25,702,84,206,0.408,26,77,0.338,58,129,0.45,39,48,0.813,5,74,79,132,34,19,64,37,233
8,Megan Gustafson,27,38,7,405,53,106,0.5,22,57,0.386,31,49,0.633,13,17,0.765,23,50,73,9,13,5,14,59,141
9,Kate Martin,24,34,2,392,27,88,0.307,22,62,0.355,5,26,0.192,11,12,0.917,6,48,54,30,7,8,21,29,87
10,Sydney Colson,34,31,1,248,27,64,0.422,14,37,0.378,13,27,0.481,8,9,0.889,1,13,14,30,15,5,14,23,76
11,Kierstan Bell,24,6,0,43,6,16,0.375,4,8,0.5,2,8,0.25,1,2,0.5,1,5,6,5,0,0,1,5,17
12,Queen Egbo,24,3,0,18,4,6,0.667,0,0,,4,6,0.667,0,0,,1,4,5,0,2,1,0,2,8
13,Emma Cannon,35,5,0,9,2,3,0.667,0,1,0,2,2,1,0,0,,0,2,2,1,0,0,1,0,4
14,Jessika Carter,24,2,0,4,0,1,0,0,0,,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
15,Dyaisha Fair,22,1,0,4,0,2,0,0,1,0,0,1,0,0,0,,0,0,0,2,0,0,0,0,0
