Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Breanna Stewart,29,38,38,1243,265,578,0.458,46,156,0.295,219,422,0.519,201,238,0.845,61,262,323,134,64,48,65,80,777
2,Sabrina Ionescu,26,38,38,1221,239,607,0.394,107,322,0.332,132,285,0.463,106,118,0.898,28,141,169,235,38,13,104,46,691
3,Jonquel Jones,30,39,39,1164,206,382,0.539,59,151,0.391,147,231,0.636,82,104,0.788,67,283,350,126,30,50,92,113,553
4,Betnijah Laney,30,28,25,848,120,263,0.456,41,102,0.402,79,161,0.491,48,53,0.906,30,88,118,93,32,1,66,60,329
5,Leonie Fiebich,24,40,15,837,97,203,0.478,55,127,0.433,42,76,0.553,18,25,0.72,39,82,121,70,38,7,41,88,267
6,Kayla Thornton,31,40,11,810,77,203,0.379,45,126,0.357,32,77,0.416,22,26,0.846,39,64,103,27,29,9,23,56,221
7,Courtney Vandersloot,35,31,31,692,81,182,0.445,18,67,0.269,63,115,0.548,17,31,0.548,13,68,81,149,25,15,56,53,197
8,Kennedy Burke,27,38,3,459,54,132,0.409,15,58,0.259,39,74,0.527,8,12,0.667,14,44,58,33,24,11,27,37,131
9,Nyara Sabally,24,26,0,352,50,87,0.575,0,2,0,50,85,0.588,28,40,0.7,34,71,105,15,23,19,13,41,128
10,Ivana Dojkić,26,26,0,257,25,74,0.338,16,42,0.381,9,32,0.281,21,27,0.778,9,13,22,20,9,1,14,26,87
11,Marquesha Davis,23,20,0,80,9,22,0.409,1,1,1,8,21,0.381,5,7,0.714,2,8,10,4,1,4,3,11,24
12,Jaylyn Sherrod,22,10,0,37,7,14,0.5,2,6,0.333,5,8,0.625,3,6,0.5,2,1,3,5,3,1,2,4,19
